PLA_type,  MLO_phr,  wool_phr,  ca_phr,  ca_type,tensile strength,elongation at brake,Young modulus,Flexural resistance,Flexural modulus,  hardness,  impact,PLA Tg,PLA Tcc,PLA Tm,PLA Xc%,T5,Tmax,Mass loss 300,Mass loss 350
6210D,10,1, 1, c, 40.99, 14.14, 1987.8, 73.5, 3219,82, 19,59.0,109.1,171.7,15.60,322.6,365.6,2.00,21.70
6210D,10,1, 1, c, 42.11, 23.5, 1889.8, 73.2, 3245.2,79, 15,61.8,114.1,168.9,16.60,325.8,366.2,2.80,24.50
6210D,10,1, 1, d, 42.38, 35.62, 1826.5, 72.5, 3143.6,81, 21.5,60.2,110.2,169.8,17.50,324.9,356.9,1.70,32.90
6210D,10,1, 1, d, 40.33, 40.15, 1815.1, 74, 3203.9,80, 18,61.2,109.6,169.2,16.90,326.1,359.5,1.50,38.60
6210D,10,1, 1, d, 41.85, 30.97, 1942.3, 73, 3195.7,81, 20,59.2,110.8,170.4,18.10,323.7,354.3,1.90,27.20
6210D,10,1, 1, d, 39.23, 16.55, 2104.1, 72.5, 3143.6,80, 19.25,60.2,110.2,169.8,17.50,324.9,356.9,1.70,32.90
6210D,10,1, 1, d, 40.9, 38.66, 2046.3, 74, 3203.9,83, 16.25,61.2,109.6,169.2,16.90,326.1,359.5,1.50,38.60
6210D,10,1, 1, d, 42.38, 35.62, 1826.5, 73, 3195.7,81, 21.5,59.2,110.8,170.4,18.10,323.7,354.3,1.90,27.20
6210D,10,1, 1, d, 40.33, 40.15, 1815.1, 72.5, 3143.6,82, 18,60.2,110.2,169.8,17.50,324.9,356.9,1.70,32.90
6210D,10,1, 1, d, 41.85, 30.97, 1942.3, 74, 3203.9,81, 20,61.2,109.6,169.2,16.90,326.1,359.5,1.50,38.60
6210D,10,1, 1, d, 39.23, 16.55, 2104.1, 73, 3195.7,81, 19.25,59.2,110.8,170.4,18.10,323.7,354.3,1.90,27.20
6210D,10,1, 1, d, 40.9, 38.66, 2046.3, 72.5, 3143.6,82, 16.25,60.2,110.2,169.8,17.50,324.9,356.9,1.70,32.90
6210D,10,1, 1, d, 42.38, 35.62, 1826.5, 74, 3203.9,82, 21.5,61.2,109.6,169.2,16.90,326.1,359.5,1.50,38.60
6210D,10,1, 1, d, 40.33, 40.15, 1815.1, 73, 3195.7,82, 18,59.2,110.8,170.4,18.10,323.7,354.3,1.90,27.20
6210D,10,1, 1, d, 41.85, 30.97, 1942.3, 72.5, 3143.6,72, 20,60.2,110.2,169.8,17.50,324.9,356.9,1.70,32.90
6210D,10,1, 1, d, 39.23, 16.55, 2104.1, 74, 3203.9,72, 19.25,61.2,109.6,169.2,16.90,326.1,359.5,1.50,38.60
6210D,10,1, 1, d, 40.9, 38.66, 2046.3, 73, 3195.7,75, 16.25,59.2,110.8,170.4,18.10,323.7,354.3,1.90,27.20
6210D,10,1, 0, 0, 38.62, 16.76, 1708.7, 64.2, 3131.2,75, 14.75,58.6,105.2,168.1,19.20,327.0,366.4,1.90,23.20
6210D,10,1, 0, 0, 34.93, 27.01, 1801.1, 65.6, 3280.3,75, 18.5,57.6,104.7,166.9,17.90,325.2,369.0,1.30,21.30
6210D,10,1, 0, 0, 35.73, 26.59, 1744.6, 65.3, 3207.7,73, 15.75,59.6,105.7,169.3,20.50,328.8,363.8,2.50,25.10
6210D,10,1, 0, 0, 37.39, 17.72, 1636.9, 64.2, 3131.2,74, 19.25,58.6,105.2,168.1,19.20,327.0,366.4,1.90,23.20
6210D,10,1, 0, 0, 35.79, 18.02, 1672.2, 65.6, 3280.3,74, 18.5,57.6,104.7,166.9,17.90,325.2,369.0,1.30,21.30
6210D,10,1, 0, 0, 38.62, 16.76, 1708.7, 65.3, 3207.7,76, 14.75,59.6,105.7,169.3,20.50,328.8,363.8,2.50,25.10
6210D,10,1, 0, 0, 34.93, 27.01, 1801.1, 64.2, 3131.2,74, 18.5,58.6,105.2,168.1,19.20,327.0,366.4,1.90,23.20
6210D,10,1, 0, 0, 35.73, 26.59, 1744.6, 65.6, 3280.3,76, 15.75,57.6,104.7,166.9,17.90,325.2,369.0,1.30,21.30
6210D,10,1, 0, 0, 37.39, 17.72, 1636.9, 65.3, 3207.7,76, 19.25,59.6,105.7,169.3,20.50,328.8,363.8,2.50,25.10
6210D,10,1, 0, 0, 35.79, 18.02, 1672.2, 64.2, 3131.2,81, 18.5,58.6,105.2,168.1,19.20,327.0,366.4,1.90,23.20
6210D,10,1, 0, 0, 38.62, 16.76, 1708.7, 65.6, 3280.3,76, 14.75,57.6,104.7,166.9,17.90,325.2,369.0,1.30,21.30
6210D,10,1, 0, 0, 34.93, 27.01, 1801.1, 65.3, 3207.7,79, 18.5,59.6,105.7,169.3,20.50,328.8,363.8,2.50,25.10
6210D,10,1, 0, 0, 35.73, 26.59, 1744.6, 64.2, 3131.2,79, 15.75,58.6,105.2,168.1,19.20,327.0,366.4,1.90,23.20
6210D,10,1, 0, 0, 37.39, 17.72, 1636.9, 65.6, 3280.3,80, 19.25,57.6,104.7,166.9,17.90,325.2,369.0,1.30,21.30
6210D,10,1, 0, 0, 35.79, 18.02, 1672.2, 65.3, 3207.7,75, 18.5,59.6,105.7,169.3,20.50,328.8,363.8,2.50,25.10
6210D,10,1, 1, c, 37.51, 19.43, 2202.4, 49.6, 2668.9,79, 14.75,60.4,106.5,170.4,13.10,313.0,358.3,3.30,27.00
6210D,10,1, 1, c, 39.47, 27.17, 2336.6, 50, 2755,80, 14.25,60.0,106.4,169.5,12.50,310.0,356.8,2.70,20.90
6210D,10,1, 1, c, 40.01, 19.89, 2138.8, 51.3, 2907.7,81, 15,60.8,106.6,171.3,13.70,316.0,359.8,3.90,34.10
6210D,10,1, 1, c, 37.36, 18, 2088.2, 49.6, 2668.9,81, 14.75,60.4,106.5,170.4,13.10,313.0,358.3,3.30,27.00
6210D,10,1, 1, c, 35.22, 22.37, 1905.5, 50, 2755,81, 15.75,60.0,106.4,169.5,12.50,310.0,356.8,2.70,20.90
6210D,10,1, 1, c, 37.51, 19.43, 2202.4, 51.3, 2907.7,81, 14.75,60.8,106.6,171.3,13.70,316.0,359.8,3.90,34.10
6210D,10,1, 1, c, 39.47, 27.17, 2336.6, 49.6, 2668.9,79, 14.25,60.4,106.5,170.4,13.10,313.0,358.3,3.30,27.00
6210D,10,1, 1, c, 40.01, 19.89, 2138.8, 50, 2755,81, 15,60.0,106.4,169.5,12.50,310.0,356.8,2.70,20.90
6210D,10,1, 1, c, 37.36, 18, 2088.2, 51.3, 2907.7,80, 14.75,60.8,106.6,171.3,13.70,316.0,359.8,3.90,34.10
6210D,10,1, 1, c, 35.22, 22.37, 1905.5, 50.3, 2777.2,81, 15.75,60.4,106.5,170.4,13.10,313.0,358.3,3.30,27.00
6210D,10,1, 2.5, c, 38.89, 21, 2234.5, 65.9, 2594.9,81, 14,60.8,106.8,170.1,14.10,314.7,359.3,3.30,27.60
6210D,10,1, 2.5, c, 39.47, 14.23, 2306.6, 51.7, 2831.1,81, 14.75,60.7,105.6,169.8,13.70,310.5,358.1,2.10,21.10
6210D,10,1, 2.5, c, 39.79, 17.86, 2123.4, 48.2, 2935.7,80, 13,60.9,108.0,170.4,14.50,319.9,360.5,4.50,34.10
